idporto,locode,nome,localita,tipo_amministrazione_porto,rilievo_nazionale,rilevanza_nazionale,caso_speciale,note_caso_speciale,lat,lon
16099,ITSCK,Sciacca,Sciacca,TERRITORIALE,NO,NO,NO,,37.5,13.0666666667
16110,ITSLL,Scilla,Scilla,TERRITORIALE,NO,NO,NO,,38.25,15.7166666667
16100,ITSCO,Scoglitti,Scoglitti,TERRITORIALE,NO,NO,NO,,,
37555,ITsew,Senato Lerici,Senato Lerici,TERRITORIALE,NO,NO,NO,,,
16101,ITSEG,Senigallia,Senigallia,TERRITORIALE,NO,NO,NO,,43.7166666667,13.2166666667
15928,ITNTE,Sestri Levante,Sestri Levante,TERRITORIALE,NO,NO,NO,,44.2666666667,9.3833333333
16083,ITRRV,Sferracavallo,Sferracavallo,TERRITORIALE,NO,NO,NO,,38.2,13.2333333333
17353,ITSID,Siderno Marina,Siderno Marina,TERRITORIALE,NO,NO,NO,,,
16111,ITSLV,Silvi Marina,Silvi Marina,TERRITORIALE,NO,NO,NO,,42.5666666667,14.1
16107,ITSIR,Siracusa,Siracusa,NAZIONALE,NO,NO,NO,,,
57847,ITS8L,Solopaca,Solopaca,TERRITORIALE,NO,NO,NO,,,
16082,ITRRO,Sorrento,Sorrento,NAZIONALE,NO,NO,NO,,,
16115,ITSOO,Soverato,Soverato,TERRITORIALE,NO,NO,NO,,38.6833333333,16.5333333333
15924,ITNGA,Sperlonga,Sperlonga,TERRITORIALE,NO,NO,NO,,41.25,13.4166666667
16078,ITRNS,Spotorno,Spotorno,TERRITORIALE,SI,NO,NO,,44.2166666667,8.4166666667
16178,ITTTN,Stintino,Stintino,TERRITORIALE,NO,NO,NO,,40.9333333333,8.2166666667
16150,ITSTR,Stromboli,Stromboli,TERRITORIALE,SI,NO,NO,,,
16154,ITTAL,Talamone,Talamone,NAZIONALE,NO,NO,NO,,,
16192,ITVIE,Vieste,Vieste,NAZIONALE,NO,NO,NO,,,
16227,ITVSG,Villa San Giovanni,Villa San Giovanni,NAZIONALE,NO,SI,NO,,38.2181388889,15.6332944444
16229,ITVTI,Voltri,Voltri,TERRITORIALE,NO,NO,NO,,,
16161,ITTAR,Taranto,Taranto,NAZIONALE,SI,SI,NO,,40.4758833333,17.2134194444
16173,ITTRI,Termini Imerese,Termini Imerese,NAZIONALE,NO,SI,NO,,37.9859722222,13.7049527778
16171,ITTRC,Terracina,Terracina,NAZIONALE,NO,NO,NO,,,
16114,ITSNR,Terrasini,Terrasini,TERRITORIALE,NO,NO,NO,,38.15,13.0833333333
16177,ITTTF,Tirrenia,Tirrenia,TERRITORIALE,SI,NO,NO,,,
16169,ITTOA,Torre Annunziata,Torre Annunziata,NAZIONALE,NO,NO,NO,,,
16162,ITTCS,Torre Cesarea,Torre Cesarea,TERRITORIALE,NO,NO,NO,,40.0333333333,18.45
16172,ITTRH,Torre Faro,Torre Faro,TERRITORIALE,SI,NO,NO,,38.25,15.6333333333
16917,ITTGV,Torre Gaveta,Torre Gaveta,TERRITORIALE,NO,NO,NO,,40.8166666667,14.0333333333
16176,ITTRU,Torre San Giovanni,Torre San Giovanni,TERRITORIALE,NO,NO,NO,,39.8833333333,18.1166666667
16163,ITTDG,Torre del Greco,Torre Del Greco,TERRITORIALE,NO,NO,NO,,,
16165,ITTGR,Torregrande,Torregrande,TERRITORIALE,NO,NO,NO,,,
16893,ITTTL,Tortoreto Lido,Tortoreto Lido,TERRITORIALE,SI,NO,NO,,42.8,13.8666666667
16915,ITTCC,Trebisacce,Trebisacce,TERRITORIALE,NO,NO,NO,,39.8666666667,16.5166666667
57949,ITZVK,Tremestieri,Tremestieri,TERRITORIALE,NO,SI,NO,,38.1319027778,15.523875
16167,ITTMT,Tremiti,Tremiti,NAZIONALE,NO,NO,NO,,,
16175,ITTRS,Trieste,Trieste,NAZIONALE,NO,SI,NO,,45.6338305556,13.7617555556
16174,ITTRP,Tropea,Tropea,TERRITORIALE,NO,NO,NO,,38.6833333333,15.9
56972,ITTUF,Tufo,Tufo,TERRITORIALE,NO,NO,NO,,,
16188,ITUST,Ustica,Ustica,NAZIONALE,NO,NO,NO,,,
16190,ITVDA,Vada,Vada,NAZIONALE,NO,NO,NO,,,
16941,ITVDL,Vado Ligure,Vado Ligure,NAZIONALE,NO,SI,NO,,44.2656361111,8.4453611111
16226,ITVRZ,Varazze,Varazze,TERRITORIALE,NO,NO,NO,,44.3666666667,8.5666666667
16228,ITVSO,Vasto,Vasto,NAZIONALE,NO,NO,NO,,,
16189,ITVCE,Venezia,Venezia,NAZIONALE,NO,SI,NO,,45.4372111111,12.3107083333
16191,ITVEN,Ventimiglia,Ventimiglia,TERRITORIALE,NO,NO,NO,,,
16504,ITVTT,Ventotene,Ventotene,TERRITORIALE,NO,NO,NO,,,
16232,ITVZN,Vernazza,Vernazza,TERRITORIALE,NO,NO,NO,,44.1333333333,9.6833333333
16958,ITVIA,Viareggio,Viareggio,NAZIONALE,NO,NO,NO,,,
16231,ITVVA,Vibo Valentia,Vibo Valentia,NAZIONALE,NO,SI,NO,,38.7166722222,16.126775
